dataset,dose,replicate,n_disrupted_signature_genes,C_target,D,R,C_lower95_one_sided,C_upper95_one_sided,D_lower95_one_sided,D_upper95_one_sided,decision,specimen_assignment_coverage,participant_assignment_coverage,validation_evaluability,index_participants,comparator_participants
GSE32863,0.1,3,2,0.4802910052910052,0.1776172084995613,0.7934135864789572,0.4101851851851852,0.550791788856305,0.07007675661053625,0.29329567017422814,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,4,2,0.5043650793650793,0.20169128257363544,0.8331825957709348,0.44232736572890025,0.5647058823529412,0.10016025641025639,0.30969608611469657,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,5,2,0.5355820105820107,0.2329082137905668,0.8847512012264663,0.46803773584905667,0.6030303030303031,0.12362599206349195,0.3468386096576994,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,6,2,0.49550264550264533,0.19282884871120143,0.8185423560865253,0.4336363636363637,0.5554545454545455,0.09010051712992884,0.30153297682709457,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,7,2,0.5027777777777778,0.20010398098633386,0.8305604632901451,0.4409238776837995,0.5634803921568627,0.09861111111111098,0.31103835978835975,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,8,2,0.5435185185185185,0.2408447217270746,0.8978618636304146,0.4742424242424244,0.6115902964959569,0.13341153470185718,0.35520787648703467,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,9,2,0.5137566137566137,0.21108281696516984,0.8486968796156074,0.45841642228739,0.5692016317016317,0.10980137509549276,0.3203869047619047,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,10,2,0.5191798941798942,0.21650609738845028,0.8576558322583057,0.45804713804713815,0.5771365149833518,0.11608288770053493,0.32816546429892723,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,11,2,0.48518518518518516,0.18251138839374126,0.8014984949613924,0.41772486772486767,0.5505642633228839,0.07472890671420096,0.298233379196868,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,12,2,0.48849206349206353,0.18581826670061963,0.8069612709630377,0.4223703703703703,0.5550558312655086,0.0781671087533155,0.3003863346104725,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,13,2,0.4810846560846561,0.1784108592932122,0.7947246527193522,0.4218939393939393,0.5365093240093242,0.07504446626255723,0.2889504776269484,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,14,2,0.4797619047619047,0.17708810797046082,0.7925395423186941,0.4137161084529506,0.5447169811320756,0.07122807017543858,0.28723738940882737,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,15,2,0.5232804232804233,0.22060662648897944,0.8644296745003458,0.45789473684210524,0.5810771889400922,0.1153042108753316,0.33147237460815054,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,16,2,0.48399470899470903,0.18132091220326513,0.7995318956008001,0.4171539961013646,0.5493939393939394,0.07243589743589746,0.29709282879818594,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,17,2,0.5038359788359787,0.20116218204453484,0.8323085516106714,0.4365384615384616,0.5685185185185185,0.0946548821548821,0.3133249956874246,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,18,2,0.4887566137566137,0.18608281696516982,0.8073982930431691,0.42884615384615393,0.5484468339307049,0.08307063622822064,0.2968240093240093,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,19,2,0.4907407407407407,0.1880669439492968,0.8106759586441563,0.427469387755102,0.5508928571428572,0.08619528619528621,0.2950872656755009,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,0,4,0.36481481481481487,0.062141018023370964,0.602653448501505,0.3092857142857143,0.4212962962962962,-0.03671568627450983,0.16642721604770946,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,1,4,0.38227513227513227,0.07960133548368836,0.6314969057901919,0.317581475128645,0.4475349969567864,-0.02520053475935835,0.1899807946682946,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,2,4,0.38888888888888884,0.08621509209744493,0.6424224577934823,0.31913043478260855,0.4565608465608466,-0.022979797979797933,0.19847670250896052,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,3,4,0.38333333333333336,0.08065953654188945,0.6332449941107184,0.31544444444444436,0.45254901960784316,-0.02849326599326607,0.19325450910908198,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,4,4,0.38108465608465597,0.07841085929321207,0.6295303064295994,0.31692592592592606,0.43888888888888894,-0.025688405797101466,0.19017261711125572,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,5,4,0.4109788359788361,0.1083050391873922,0.678913801484473,0.3459090909090909,0.4766806722689075,0.0053520553520552405,0.2217926561483407,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,6,4,0.3931216931216931,0.09044789633024919,0.6494148110755883,0.3335925925925926,0.45285714285714285,-0.011960784313725603,0.19955782312925174,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,7,4,0.38769841269841293,0.08502461590696903,0.6404558584328905,0.32703984819734355,0.451116427432217,-0.01991765480895935,0.1992560941043085,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,8,4,0.3882275132275133,0.0855537164360694,0.6413299025931535,0.31568627450980385,0.46086587436332765,-0.022482789282145754,0.20227058659721198,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,9,4,0.3814814814814815,0.07880768469003757,0.630185839549797,0.3233333333333333,0.4374999999999999,-0.02035956976588066,0.1862960568842922,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,10,4,0.37156084656084665,0.06888704976940274,0.6137975115448614,0.302021563342318,0.4346560846560845,-0.036965811965812057,0.1791994720965308,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,11,4,0.3817460317460316,0.0790722349545877,0.6306228616299284,0.30476190476190496,0.4589774557165863,-0.03504055258467026,0.20096537234695122,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,12,4,0.3707671957671957,0.06809339897575178,0.6124864453044663,0.3069090909090909,0.4390484003281378,-0.0358771538918598,0.18219696969696977,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,13,4,0.3628306878306879,0.06015689103924399,0.5993757829005179,0.3106153846153846,0.41410675381263623,-0.04010989010989002,0.1660555555555556,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,14,4,0.3522486772486772,0.049574880457233295,0.5818948996952529,0.28625356125356133,0.4182692307692307,-0.053459595959595874,0.15817775974025966,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,15,4,0.43955026455026447,0.13687646775882056,0.7261121861386877,0.37184065934065924,0.499074074074074,0.02993853630646076,0.24925213675213675,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,16,4,0.3667989417989417,0.06412514500749777,0.6059311141024919,0.2987663280116109,0.42976923076923085,-0.041787802840434374,0.17267549444020047,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,17,4,0.3919312169312169,0.089257420139773,0.647448211714996,0.3242424242424243,0.4571339950372207,-0.016651040993146238,0.2022355399840187,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,18,4,0.36732804232804245,0.06465424553659854,0.6068051582627555,0.3023076923076923,0.43145604395604403,-0.04070198263910241,0.17416122004357298,INSUFFICIENT_SUPPORT,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.25,19,4,0.41574074074074074,0.11306694394929684,0.686780198926842,0.35370018975332057,0.4746779388083736,0.007374794745484303,0.2224966662910375,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
