dataset,gsm,participant_id,pair_status,assignment,reason,best_profile_id,best_score,margin,executable_coverage,profile_scores,profile_coverages,validation_score,evaluation_label,forced_profile_id
GSE32863,GSM813471,07L19,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813472,07L19,paired,ASSIGNED,OK,P1,0.7018652930617341,0.3905549265366437,1.0,"[0.31131036652509037, 0.7018652930617341]","[1.0, 1.0]",0.8,tumor,P1
GSE32863,GSM813473,07L21,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813474,07L21,paired,UNASSIGNED,LOW_SCORE,P1,0.5956450479981268,,1.0,"[0.4112002516910491, 0.5956450479981268]","[1.0, 1.0]",0.4,tumor,P1
GSE32863,GSM813475,07L22,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813476,07L22,paired,ASSIGNED,OK,P1,0.7017872473269335,0.3815103871727728,1.0,"[0.32027686015416074, 0.7017872473269335]","[1.0, 1.0]",0.6,tumor,P1
GSE32863,GSM813477,07L25,paired,ASSIGNED,OK,P1,0.81448528837899,0.6137616766124335,1.0,"[0.20072361176655654, 0.81448528837899]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813478,07L25,paired,ASSIGNED,OK,P1,0.7083430890501833,0.41669608574673833,1.0,"[0.29164700330344495, 0.7083430890501833]","[1.0, 1.0]",0.8,tumor,P1
GSE32863,GSM813479,07L28,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813480,07L28,paired,UNASSIGNED,LOW_SCORE,P0,0.5243039169419536,,1.0,"[0.5243039169419536, 0.49387340981815336]","[1.0, 1.0]",1.0,tumor,P0
GSE32863,GSM813481,07L31,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
